,id,assetcode,windowtimestamp,datatype,systemversion,mentions,buzz,sentiment,negative,positive,optimism,pessimism,joy,lovehate,trust,anger,disagreement,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,shortvslongterm,marketrisk,longshort,longshortforecast,pricedirection,pricedown,priceforecast,priceup,pricemomentum,topvsbottom,overvaluedvsundervalued,volatility,adoption,adoptionforecast,anonymity,attack,codesentiment,codeupgrade,criminalactivity,developersentiment,fomo,fork,forkforecast,hodl,innovation,litigation,majorityattack,noobs,regulatorycrackdown,regulatoryissues,scam,transactionspeed,vulnerability,partnership,futurevspast,windowtimestamp1,windowtimestamp2,date,close,r_BTC_USD,R_BTC_USD,volume_BTC_USD
10,mp:2014-09-27_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-27T19:30:00.000Z,News_Social,MP:4.0.0,1070,2052.25,0.13302501,0.171275,0.30430001,0.082836002,0.024119999,0.006822,0.007309,0.003655,0.006091,0.004629,0.005116,0.015349,0.041905001,0.0134,0.001705,0.023633,0.019004,0.378122,0.001218,0.041905001,0.00536,0.00268,0.014131,0.011694,0.003898,0.025824999,0.000487,0.002193,0.001949,0.010354,0.019004,0.004385,0.001462,0.001462,0.000487,0.001462,0.00536,0.001462,0.000375107,0.001434371,0.000454451,0.001475236,0.005847,0.000487,0.000209797,0.000504439,0.001616718,0.009014,0.002436,0.001462,0.000487,0.000613939,-0.123401,9/27/2014,19:30:00.000Z,27-Sep-14,399.519989,-0.012202476,-0.012128328,15029300.0
11,mp:2014-09-28_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-28T19:30:00.000Z,News_Social,MP:4.0.0,1107,1890.85,0.044689,0.202554,0.247243,0.070602998,0.038077999,0.007404,0.005024,0.000793,0.008462,0.023006,0.002909,0.013486,0.034905002,0.00952,0.002644,0.017188,0.029669,0.355607,0.00952,0.032788999,-0.003702,-0.006875,0.011106,0.016923999,0.005289,0.028030001,0.001851,-0.001851,-0.000529,0.020757999,0.014808,0.003702,0.00476,0.003702,0.001587,0.000529,0.00476,0.000529,0.000375107,0.001434371,0.000454451,0.001475236,0.006082,0.003173,0.000209797,0.002115,0.001058,0.00952,0.00476,0.001058,0.002644,0.000529,-0.108813,9/28/2014,19:30:00.000Z,28-Sep-14,377.181,-0.057538621,-0.055914573,23613300.0
12,mp:2014-09-29_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-29T19:30:00.000Z,News_Social,MP:4.0.0,925,3026.55,0.01173,0.21294899,0.22467799,0.053525999,0.057656001,0.002148,0.003304,0.014868,0.006939,0.018998999,-0.000165,0.024119999,0.044605002,0.012721,0.002808,0.004626,0.033636,0.351688,0.009251,0.009582,0.001487,0.001156,-0.003139,0.027259,-0.000165,0.024119999,0.001156,-0.005617,-0.000991,0.013134,0.018998999,0.002478,0.000496,0.001652,-0.000991,0.001322,0.005121,0.000991,0.000375107,0.00033,0.000454451,0.000661,0.004626,0.001982,0.000209797,0.000504439,0.001652,0.007765,0.002313,-0.000661,0.001156,0.000661,-0.107466,9/29/2014,19:30:00.000Z,29-Sep-14,375.46701,-0.004554567,-0.004544211,32497700.0
13,mp:2014-09-30_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-30T19:30:00.000Z,News_Social,MP:4.0.0,1492,4098.0,0.034040999,0.21437301,0.24841399,0.058564998,0.029283,0.007565,0.006101,0.00366,0.006101,0.02306,0.004148,0.013787,0.041850001,0.009273,0.008663,0.020253999,0.031357002,0.38330901,0.002562,0.041239999,-0.003538,-0.003172,0.01757,0.017325999,0.00427,0.034894999,0.001586,-0.008785,-0.00244,0.012933,0.017692,0.00244,0.000976,0.004148,-0.000488,0.00122,0.005246,-0.000244,0.000375107,0.000244,0.000454451,0.000244,0.008297,0.000732,0.000209797,0.000244,0.001342,0.018912001,0.002562,0.00122,0.000366,0.00244,-0.20073199,9/30/2014,19:30:00.000Z,30-Sep-14,386.944,0.030109368,0.03056724,34707300.0
14,mp:2014-10-01_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-01T19:30:00.000Z,News_Social,MP:4.0.0,1415,3162.0,0.096932001,0.18753999,0.28447199,0.057875,0.039374001,0.008223,0.005851,0.018343,0.002372,0.020082001,0.005218,0.020082001,0.033996999,0.007906,0.001739,0.021189,0.028558001,0.38320699,0.009171,0.029886,0.008223,0.000633,0.011227,0.015022,0.001581,0.026249001,-0.000158,-0.000633,-0.000633,0.011385,0.015970999,0.001107,0.006799,0.002846,0.000633,0.000949,0.012176,0.000316,0.000375107,0.000316,0.000454451,0.000316,0.005693,0.003479,0.000209797,0.000504439,0.001265,0.006009,0.001581,0.000407513,0.000633,0.002214,-0.12507901,10/1/2014,19:30:00.000Z,1-Oct-14,383.61499,-0.00864056,-0.008603338,26229400.0
15,mp:2014-10-02_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-02T19:30:00.000Z,News_Social,MP:4.0.0,1375,3251.3501,0.074584,0.197456,0.27204099,0.067203,0.058745001,0.006151,0.003845,0.013687,0.007535,0.024759,0.003998,0.018300001,0.047672998,0.00692,0.002153,0.020607,0.024882,0.40955299,0.006151,0.014302,-0.002768,-0.000769,0.014609,0.012303,0.002951137,0.026912,0.000769,-0.006613,-0.000923,0.012072,0.026450999,0.006613,0.004306,0.002461,0.003076,0.002153,0.00569,-0.000615,0.000375107,0.001434371,0.000454451,0.001475236,0.007382,0.001845,0.000209797,0.000308,0.000615,0.010765,0.002461,0.001999,0.000923,0.007689,-0.056023002,10/2/2014,19:30:00.000Z,2-Oct-14,375.071991,-0.022521436,-0.022269722,21777700.0
16,mp:2014-10-03_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-03T19:30:00.000Z,News_Social,MP:4.0.0,1347,3142.3999,0.027368,0.20843901,0.235807,0.045666002,0.039142001,0.009865,0.003182,0.004614,0.008433,0.027048999,0.006205,0.022753,0.047416002,0.014002,0.005728,0.021799,0.021957999,0.35612899,-0.004933,0.027845001,0.00189574,-0.001114,0.018935001,0.015752001,0.002546,0.034687001,0.000477,-0.003182,-0.001273,0.016866,0.019253001,0.002228,0.004614,0.002546,0.001909,0.000636,0.006365,0.00175,0.000375107,0.000318,0.000454451,0.001475236,0.007001,0.002228,0.000209797,0.000504439,0.002546,0.020207001,0.000955,-0.000636,0.000318,0.000613939,-0.16551,10/3/2014,19:30:00.000Z,3-Oct-14,359.511993,-0.042370446,-0.041485365,30901200.0
17,mp:2014-10-04_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-04T19:30:00.000Z,News_Social,MP:4.0.0,1331,3691.75,-0.059321001,0.25611201,0.19678999,0.059999,0.065687001,0.00921,0.005688,-0.010158,0.012596,0.041986,0.004469,0.03413,0.045642,0.00921,0.003386,0.009074,0.024188999,0.418365,-0.000406,-0.000948,-0.000813,-0.001896,-0.000271,0.02492,0.000135,0.02465,-0.000948,-0.008803,-0.003386,0.013341,0.011918,0.001354,0.000271,0.001083,0.000813,0.000813,0.002573,-0.000542,0.000375107,0.001434371,0.000454451,0.000271,0.002573,0.005147,0.000271,0.000504439,0.008262,0.016659001,0.003521,0.000542,0.000406,0.000542,-0.083240002,10/4/2014,19:30:00.000Z,4-Oct-14,328.865997,-0.089097172,-0.085243322,47236500.0
18,mp:2014-10-05_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-05T19:30:00.000Z,News_Social,MP:4.0.0,1246,3203.3501,-0.038552999,0.237096,0.198542,0.049947999,0.054318,0.00437,0.002341,-0.00359,0.015296,0.01795,0.004683,0.036368001,0.034026999,0.013423,0.00078,0.011238,0.027534001,0.34935299,0.012799,0.005775,0.001249,0.003278,0.003278,0.028252,0.000312,0.031528998,-0.00078,-0.001093,-0.002029,0.011628,0.009209,0.002029,0.001405,0.003434,-0.001093,0.000624,0.005307,0.000624,0.000375107,-0.000156,0.000454451,0.001561,0.002341,0.001873,0.000209797,0.000504439,0.00078,0.002653,0.001561,0.000468,0.000468,0.000624,-0.094823003,10/5/2014,19:30:00.000Z,5-Oct-14,320.51001,-0.025736855,-0.025408486,83308096.0
19,mp:2014-10-06_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-06T19:30:00.000Z,News_Social,MP:4.0.0,1833,6752.0498,-0.058352999,0.248147,0.189794,0.046948999,0.037248001,0.007257,0.002962,0.000592,0.009479,0.021031,0.008738,0.031768002,0.036506999,0.007257,0.003554,0.009775,0.022793001,0.263372,0.005184,0.014884,-0.00585,0.001185,-0.016883999,0.049465999,0.000889,0.032582998,-0.001481,-0.005036,-0.000444,0.027732,0.014662,0.003554,0.001703,0.002444,0.000148,0.001777,0.005036,0.00037,0.000375107,0.000148,0.000454451,0.001475236,0.002962,0.001520053,0.000209797,0.000504439,0.001555,0.008664,0.000592,0.000148,0.000296,0.001185,-0.23045599,10/6/2014,19:30:00.000Z,6-Oct-14,330.07901,0.029418541,0.029855542,79011800.0
